return point 3, result=0.003509140014648437, sub_result=0.0035076141357421875
return point 2, result=0.0004336833953857422, sub_result=0.00043386220932006836
return point 2, result=0.0004165172576904297, sub_result=0.00041669607162475586
return point 2, result=0.0004088878631591797, sub_result=0.00040906667709350586
return point 2, result=0.0003917217254638672, sub_result=0.00039190053939819336
return point 2, result=0.0004088878631591797, sub_result=0.00040906667709350586
return point 2, result=0.0003917217254638672, sub_result=0.00039190053939819336
return point 2, result=0.0003840923309326172, sub_result=0.00038427114486694336
return point 2, result=0.0003669261932373047, sub_result=0.00036710500717163086
return point 3, result=0.003203964233398437, sub_result=0.0032024383544921875
return point 3, result=0.030270385742187492, sub_result=0.03021240234375
return point 2, result=0.0005843639373779297, sub_result=0.0005845427513122559
return point 2, result=0.0005557537078857422, sub_result=0.0005559325218200684
return point 2, result=0.0005633831024169922, sub_result=0.0005635619163513184
return point 2, result=0.0005347728729248047, sub_result=0.0005349516868591309
return point 2, result=0.0005557537078857422, sub_result=0.0005559325218200684
return point 2, result=0.0005271434783935547, sub_result=0.0005273222923278809
return point 2, result=0.0005347728729248047, sub_result=0.0005349516868591309
return point 2, result=0.0005061626434326172, sub_result=0.0005063414573669434
return point 3, result=0.004363632202148437, sub_result=0.0043621063232421875
return point 2, result=0.0005290508270263672, sub_result=0.0005292296409606934
return point 2, result=0.0005042552947998047, sub_result=0.0005044341087341309
return point 2, result=0.0005080699920654297, sub_result=0.0005082488059997559
return point 2, result=0.0004832744598388672, sub_result=0.00048345327377319336
return point 2, result=0.0005004405975341797, sub_result=0.0005006194114685059
return point 2, result=0.0004756450653076172, sub_result=0.00047582387924194336
return point 2, result=0.0004794597625732422, sub_result=0.00047963857650756836
return point 2, result=0.0004546642303466797, sub_result=0.00045484304428100586
return point 3, result=0.003936386108398437, sub_result=0.0039348602294921875
return point 2, result=0.0005443096160888672, sub_result=0.0005444884300231934
return point 2, result=0.0005156993865966797, sub_result=0.0005158782005310059
return point 2, result=0.0005271434783935547, sub_result=0.0005273222923278809
return point 2, result=0.0004985332489013672, sub_result=0.0004987120628356934
return point 2, result=0.0005156993865966797, sub_result=0.0005158782005310059
return point 2, result=0.0004870891571044922, sub_result=0.00048726797103881836
return point 2, result=0.0004985332489013672, sub_result=0.0004987120628356934
return point 2, result=0.0004699230194091797, sub_result=0.00047010183334350586
return point 3, result=0.004058456420898437, sub_result=0.0040569305419921875
return point 2, result=0.0004889965057373047, sub_result=0.0004891753196716309
return point 2, result=0.0004642009735107422, sub_result=0.00046437978744506836
return point 2, result=0.0004718303680419922, sub_result=0.00047200918197631836
return point 2, result=0.0004470348358154297, sub_result=0.00044721364974975586
return point 2, result=0.0004603862762451172, sub_result=0.00046056509017944336
return point 2, result=0.0004355907440185547, sub_result=0.00043576955795288086
return point 2, result=0.0004432201385498047, sub_result=0.00044339895248413086
return point 2, result=0.0004184246063232422, sub_result=0.00041860342025756836
return point 3, result=0.003631210327148437, sub_result=0.0036296844482421875
return point 2, result=0.0005290508270263672, sub_result=0.0005292296409606934
return point 2, result=0.0005004405975341797, sub_result=0.0005006194114685059
return point 2, result=0.0005080699920654297, sub_result=0.0005082488059997559
return point 2, result=0.0004794597625732422, sub_result=0.00047963857650756836
return point 2, result=0.0005042552947998047, sub_result=0.0005044341087341309
return point 2, result=0.0004756450653076172, sub_result=0.00047582387924194336
return point 2, result=0.0004832744598388672, sub_result=0.00048345327377319336
return point 2, result=0.0004546642303466797, sub_result=0.00045484304428100586
return point 3, result=0.003936386108398437, sub_result=0.0039348602294921875
return point 2, result=0.0004737377166748047, sub_result=0.00047391653060913086
return point 2, result=0.0004489421844482422, sub_result=0.00044912099838256836
return point 2, result=0.0004527568817138672, sub_result=0.00045293569564819336
return point 2, result=0.0004279613494873047, sub_result=0.00042814016342163086
return point 2, result=0.0004489421844482422, sub_result=0.00044912099838256836
return point 2, result=0.0004241466522216797, sub_result=0.00042432546615600586
return point 2, result=0.0004279613494873047, sub_result=0.00042814016342163086
return point 2, result=0.0004031658172607422, sub_result=0.00040334463119506836
return point 3, result=0.003509140014648437, sub_result=0.0035076141357421875
return point 2, result=0.0004889965057373047, sub_result=0.0004891753196716309
return point 2, result=0.0004603862762451172, sub_result=0.00046056509017944336
return point 2, result=0.0004718303680419922, sub_result=0.00047200918197631836
return point 2, result=0.0004432201385498047, sub_result=0.00044339895248413086
return point 2, result=0.0004642009735107422, sub_result=0.00046437978744506836
return point 2, result=0.0004355907440185547, sub_result=0.00043576955795288086
return point 2, result=0.0004470348358154297, sub_result=0.00044721364974975586
return point 2, result=0.0004184246063232422, sub_result=0.00041860342025756836
return point 3, result=0.003631210327148437, sub_result=0.0036296844482421875
return point 2, result=0.0004336833953857422, sub_result=0.00043386220932006836
return point 2, result=0.0004088878631591797, sub_result=0.00040906667709350586
return point 2, result=0.0004165172576904297, sub_result=0.00041669607162475586
return point 2, result=0.0003917217254638672, sub_result=0.00039190053939819336
return point 2, result=0.0004088878631591797, sub_result=0.00040906667709350586
return point 2, result=0.0003840923309326172, sub_result=0.00038427114486694336
return point 2, result=0.0003917217254638672, sub_result=0.00039190053939819336
return point 2, result=0.0003669261932373047, sub_result=0.00036710500717163086
return point 3, result=0.003203964233398437, sub_result=0.0032024383544921875
return point 3, result=0.030270385742187492, sub_result=0.03021240234375
return point 2, result=0.0004813671112060547, sub_result=0.00048154592514038086
return point 2, result=0.0004603862762451172, sub_result=0.00046056509017944336
return point 2, result=0.0004603862762451172, sub_result=0.00046056509017944336
return point 2, result=0.0004394054412841797, sub_result=0.00043958425521850586
return point 2, result=0.0004527568817138672, sub_result=0.00045293569564819336
return point 2, result=0.0004317760467529297, sub_result=0.00043195486068725586
return point 2, result=0.0004317760467529297, sub_result=0.00043195486068725586
return point 2, result=0.0004107952117919922, sub_result=0.00041097402572631836
return point 3, result=0.003570175170898437, sub_result=0.0035686492919921875
return point 2, result=0.0004413127899169922, sub_result=0.00044149160385131836
return point 2, result=0.0004241466522216797, sub_result=0.00042432546615600586
return point 2, result=0.0004203319549560547, sub_result=0.00042051076889038086
return point 2, result=0.0004031658172607422, sub_result=0.00040334463119506836
return point 2, result=0.0004127025604248047, sub_result=0.00041288137435913086
return point 2, result=0.0003955364227294922, sub_result=0.00039571523666381836
return point 2, result=0.0003917217254638672, sub_result=0.00039190053939819336
return point 2, result=0.0003745555877685547, sub_result=0.00037473440170288086
return point 3, result=0.003264999389648437, sub_result=0.0032634735107421875
return point 2, result=0.0004413127899169922, sub_result=0.00044149160385131836
return point 2, result=0.0004203319549560547, sub_result=0.00042051076889038086
return point 2, result=0.0004241466522216797, sub_result=0.00042432546615600586
return point 2, result=0.0004031658172607422, sub_result=0.00040334463119506836
return point 2, result=0.0004127025604248047, sub_result=0.00041288137435913086
return point 2, result=0.0003917217254638672, sub_result=0.00039190053939819336
return point 2, result=0.0003955364227294922, sub_result=0.00039571523666381836
return point 2, result=0.0003745555877685547, sub_result=0.00037473440170288086
return point 3, result=0.003264999389648437, sub_result=0.0032634735107421875
return point 2, result=0.0004012584686279297, sub_result=0.00040143728256225586
return point 2, result=0.0003840923309326172, sub_result=0.00038427114486694336
return point 2, result=0.0003840923309326172, sub_result=0.00038427114486694336
return point 2, result=0.0003669261932373047, sub_result=0.00036710500717163086
return point 2, result=0.0003726482391357422, sub_result=0.00037282705307006836
return point 2, result=0.0003554821014404297, sub_result=0.00035566091537475586
return point 2, result=0.0003554821014404297, sub_result=0.00035566091537475586
return point 2, result=0.0003383159637451172, sub_result=0.00033849477767944336
return point 3, result=0.002959823608398437, sub_result=0.0029582977294921875
return point 2, result=0.0004260540008544922, sub_result=0.00042623281478881836
return point 2, result=0.0004050731658935547, sub_result=0.00040525197982788086
return point 2, result=0.0004050731658935547, sub_result=0.00040525197982788086
return point 2, result=0.0003840923309326172, sub_result=0.00038427114486694336
return point 2, result=0.0004012584686279297, sub_result=0.00040143728256225586
return point 2, result=0.0003802776336669922, sub_result=0.00038045644760131836
return point 2, result=0.0003802776336669922, sub_result=0.00038045644760131836
return point 2, result=0.0003592967987060547, sub_result=0.00035947561264038086
return point 3, result=0.003142929077148437, sub_result=0.0031414031982421875
return point 2, result=0.0003859996795654297, sub_result=0.00038617849349975586
return point 2, result=0.0003688335418701172, sub_result=0.00036901235580444336
return point 2, result=0.0003650188446044922, sub_result=0.00036519765853881836
return point 2, result=0.0003478527069091797, sub_result=0.00034803152084350586
return point 2, result=0.0003612041473388672, sub_result=0.00036138296127319336
return point 2, result=0.0003440380096435547, sub_result=0.00034421682357788086
return point 2, result=0.0003402233123779297, sub_result=0.00034040212631225586
return point 2, result=0.0003230571746826172, sub_result=0.00032323598861694336
return point 3, result=0.002837753295898437, sub_result=0.0028362274169921875
return point 2, result=0.0003859996795654297, sub_result=0.00038617849349975586
return point 2, result=0.0003650188446044922, sub_result=0.00036519765853881836
return point 2, result=0.0003688335418701172, sub_result=0.00036901235580444336
return point 2, result=0.0003478527069091797, sub_result=0.00034803152084350586
return point 2, result=0.0003612041473388672, sub_result=0.00036138296127319336
return point 2, result=0.0003402233123779297, sub_result=0.00034040212631225586
return point 2, result=0.0003440380096435547, sub_result=0.00034421682357788086
return point 2, result=0.0003230571746826172, sub_result=0.00032323598861694336
return point 3, result=0.002837753295898437, sub_result=0.0028362274169921875
return point 2, result=0.0003459453582763672, sub_result=0.00034612417221069336
return point 2, result=0.0003287792205810547, sub_result=0.00032895803451538086
return point 2, result=0.0003287792205810547, sub_result=0.00032895803451538086
return point 2, result=0.0003116130828857422, sub_result=0.00031179189682006836
return point 2, result=0.0003211498260498047, sub_result=0.00032132863998413086
return point 2, result=0.0003039836883544922, sub_result=0.00030416250228881836
return point 2, result=0.0003039836883544922, sub_result=0.00030416250228881836
return point 2, result=0.0002868175506591797, sub_result=0.00028699636459350586
return point 3, result=0.0025325775146484374, sub_result=0.0025310516357421875
return point 3, result=0.024411010742187492, sub_result=0.02435302734375
return point 2, result=0.0005843639373779297, sub_result=0.0005845427513122559
return point 2, result=0.0005557537078857422, sub_result=0.0005559325218200684
return point 2, result=0.0005557537078857422, sub_result=0.0005559325218200684
return point 2, result=0.0005271434783935547, sub_result=0.0005273222923278809
return point 2, result=0.0005633831024169922, sub_result=0.0005635619163513184
return point 2, result=0.0005347728729248047, sub_result=0.0005349516868591309
return point 2, result=0.0005347728729248047, sub_result=0.0005349516868591309
return point 2, result=0.0005061626434326172, sub_result=0.0005063414573669434
return point 3, result=0.004363632202148437, sub_result=0.0043621063232421875
return point 2, result=0.0005290508270263672, sub_result=0.0005292296409606934
return point 2, result=0.0005042552947998047, sub_result=0.0005044341087341309
return point 2, result=0.0005004405975341797, sub_result=0.0005006194114685059
return point 2, result=0.0004756450653076172, sub_result=0.00047582387924194336
return point 2, result=0.0005080699920654297, sub_result=0.0005082488059997559
return point 2, result=0.0004832744598388672, sub_result=0.00048345327377319336
return point 2, result=0.0004794597625732422, sub_result=0.00047963857650756836
return point 2, result=0.0004546642303466797, sub_result=0.00045484304428100586
return point 3, result=0.003936386108398437, sub_result=0.0039348602294921875
return point 2, result=0.0005290508270263672, sub_result=0.0005292296409606934
return point 2, result=0.0005004405975341797, sub_result=0.0005006194114685059
return point 2, result=0.0005042552947998047, sub_result=0.0005044341087341309
return point 2, result=0.0004756450653076172, sub_result=0.00047582387924194336
return point 2, result=0.0005080699920654297, sub_result=0.0005082488059997559
return point 2, result=0.0004794597625732422, sub_result=0.00047963857650756836
return point 2, result=0.0004832744598388672, sub_result=0.00048345327377319336
return point 2, result=0.0004546642303466797, sub_result=0.00045484304428100586
return point 3, result=0.003936386108398437, sub_result=0.0039348602294921875
return point 2, result=0.0004737377166748047, sub_result=0.00047391653060913086
return point 2, result=0.0004489421844482422, sub_result=0.00044912099838256836
return point 2, result=0.0004489421844482422, sub_result=0.00044912099838256836
return point 2, result=0.0004241466522216797, sub_result=0.00042432546615600586
return point 2, result=0.0004527568817138672, sub_result=0.00045293569564819336
return point 2, result=0.0004279613494873047, sub_result=0.00042814016342163086
return point 2, result=0.0004279613494873047, sub_result=0.00042814016342163086
return point 2, result=0.0004031658172607422, sub_result=0.00040334463119506836
return point 3, result=0.003509140014648437, sub_result=0.0035076141357421875
return point 2, result=0.0005443096160888672, sub_result=0.0005444884300231934
return point 2, result=0.0005156993865966797, sub_result=0.0005158782005310059
return point 2, result=0.0005156993865966797, sub_result=0.0005158782005310059
return point 2, result=0.0004870891571044922, sub_result=0.00048726797103881836
return point 2, result=0.0005271434783935547, sub_result=0.0005273222923278809
return point 2, result=0.0004985332489013672, sub_result=0.0004987120628356934
return point 2, result=0.0004985332489013672, sub_result=0.0004987120628356934
return point 2, result=0.0004699230194091797, sub_result=0.00047010183334350586
return point 3, result=0.004058456420898437, sub_result=0.0040569305419921875
return point 2, result=0.0004889965057373047, sub_result=0.0004891753196716309
return point 2, result=0.0004642009735107422, sub_result=0.00046437978744506836
return point 2, result=0.0004603862762451172, sub_result=0.00046056509017944336
return point 2, result=0.0004355907440185547, sub_result=0.00043576955795288086
return point 2, result=0.0004718303680419922, sub_result=0.00047200918197631836
return point 2, result=0.0004470348358154297, sub_result=0.00044721364974975586
return point 2, result=0.0004432201385498047, sub_result=0.00044339895248413086
return point 2, result=0.0004184246063232422, sub_result=0.00041860342025756836
return point 3, result=0.003631210327148437, sub_result=0.0036296844482421875
return point 2, result=0.0004889965057373047, sub_result=0.0004891753196716309
return point 2, result=0.0004603862762451172, sub_result=0.00046056509017944336
return point 2, result=0.0004642009735107422, sub_result=0.00046437978744506836
return point 2, result=0.0004355907440185547, sub_result=0.00043576955795288086
return point 2, result=0.0004718303680419922, sub_result=0.00047200918197631836
return point 2, result=0.0004432201385498047, sub_result=0.00044339895248413086
return point 2, result=0.0004470348358154297, sub_result=0.00044721364974975586
return point 2, result=0.0004184246063232422, sub_result=0.00041860342025756836
return point 3, result=0.003631210327148437, sub_result=0.0036296844482421875
return point 2, result=0.0004336833953857422, sub_result=0.00043386220932006836
return point 2, result=0.0004088878631591797, sub_result=0.00040906667709350586
return point 2, result=0.0004088878631591797, sub_result=0.00040906667709350586
return point 2, result=0.0003840923309326172, sub_result=0.00038427114486694336
return point 2, result=0.0004165172576904297, sub_result=0.00041669607162475586
return point 2, result=0.0003917217254638672, sub_result=0.00039190053939819336
return point 2, result=0.0003917217254638672, sub_result=0.00039190053939819336
return point 2, result=0.0003669261932373047, sub_result=0.00036710500717163086
return point 3, result=0.003203964233398437, sub_result=0.0032024383544921875
return point 3, result=0.030270385742187492, sub_result=0.03021240234375
return point 2, result=0.0004813671112060547, sub_result=0.00048154592514038086
return point 2, result=0.0004603862762451172, sub_result=0.00046056509017944336
return point 2, result=0.0004527568817138672, sub_result=0.00045293569564819336
return point 2, result=0.0004317760467529297, sub_result=0.00043195486068725586
return point 2, result=0.0004603862762451172, sub_result=0.00046056509017944336
return point 2, result=0.0004394054412841797, sub_result=0.00043958425521850586
return point 2, result=0.0004317760467529297, sub_result=0.00043195486068725586
return point 2, result=0.0004107952117919922, sub_result=0.00041097402572631836
return point 3, result=0.003570175170898437, sub_result=0.0035686492919921875
return point 2, result=0.0004413127899169922, sub_result=0.00044149160385131836
return point 2, result=0.0004241466522216797, sub_result=0.00042432546615600586
return point 2, result=0.0004127025604248047, sub_result=0.00041288137435913086
return point 2, result=0.0003955364227294922, sub_result=0.00039571523666381836
return point 2, result=0.0004203319549560547, sub_result=0.00042051076889038086
return point 2, result=0.0004031658172607422, sub_result=0.00040334463119506836
return point 2, result=0.0003917217254638672, sub_result=0.00039190053939819336
return point 2, result=0.0003745555877685547, sub_result=0.00037473440170288086
return point 3, result=0.003264999389648437, sub_result=0.0032634735107421875
return point 2, result=0.0004260540008544922, sub_result=0.00042623281478881836
return point 2, result=0.0004050731658935547, sub_result=0.00040525197982788086
return point 2, result=0.0004012584686279297, sub_result=0.00040143728256225586
return point 2, result=0.0003802776336669922, sub_result=0.00038045644760131836
return point 2, result=0.0004050731658935547, sub_result=0.00040525197982788086
return point 2, result=0.0003840923309326172, sub_result=0.00038427114486694336
return point 2, result=0.0003802776336669922, sub_result=0.00038045644760131836
return point 2, result=0.0003592967987060547, sub_result=0.00035947561264038086
return point 3, result=0.003142929077148437, sub_result=0.0031414031982421875
return point 2, result=0.0003859996795654297, sub_result=0.00038617849349975586
return point 2, result=0.0003688335418701172, sub_result=0.00036901235580444336
return point 2, result=0.0003612041473388672, sub_result=0.00036138296127319336
return point 2, result=0.0003440380096435547, sub_result=0.00034421682357788086
return point 2, result=0.0003650188446044922, sub_result=0.00036519765853881836
return point 2, result=0.0003478527069091797, sub_result=0.00034803152084350586
return point 2, result=0.0003402233123779297, sub_result=0.00034040212631225586
return point 2, result=0.0003230571746826172, sub_result=0.00032323598861694336
return point 3, result=0.002837753295898437, sub_result=0.0028362274169921875
return point 2, result=0.0004413127899169922, sub_result=0.00044149160385131836
return point 2, result=0.0004203319549560547, sub_result=0.00042051076889038086
return point 2, result=0.0004127025604248047, sub_result=0.00041288137435913086
return point 2, result=0.0003917217254638672, sub_result=0.00039190053939819336
return point 2, result=0.0004241466522216797, sub_result=0.00042432546615600586
return point 2, result=0.0004031658172607422, sub_result=0.00040334463119506836
return point 2, result=0.0003955364227294922, sub_result=0.00039571523666381836
return point 2, result=0.0003745555877685547, sub_result=0.00037473440170288086
return point 3, result=0.003264999389648437, sub_result=0.0032634735107421875
return point 2, result=0.0004012584686279297, sub_result=0.00040143728256225586
return point 2, result=0.0003840923309326172, sub_result=0.00038427114486694336
return point 2, result=0.0003726482391357422, sub_result=0.00037282705307006836
return point 2, result=0.0003554821014404297, sub_result=0.00035566091537475586
return point 2, result=0.0003840923309326172, sub_result=0.00038427114486694336
return point 2, result=0.0003669261932373047, sub_result=0.00036710500717163086
return point 2, result=0.0003554821014404297, sub_result=0.00035566091537475586
